id,label,tag,pr
97,麻衣汉子,8,0.02245580351182836
98,古笃诚,4,0.5574009402661102
99,赵半山,9,5.842419949256761
100,吉人通,8,0.12149983622755958
101,乐厚,8,0.29348158488102544
102,刘培生,13,0.9096746625125741
103,书僮,9,0.608236833434168
104,徐天宏,9,7.0671849153231046
105,龚光杰,4,0.1256617530946608
106,骆冰,9,7.281461880231926
107,郑七灭,12,0.055788328606442505
108,葛光佩,4,0.05631052582285518
109,瘦丐,5,0.13947239350189303
110,陆天抒,3,0.29988195613034685
111,元伤,9,0.11632404590889779
112,马齐,9,0.19725069457065317
113,孟铮,13,0.3130601250837924
114,邱山风,11,0.022715438368769728
115,岑其斯,13,0.1557048689858925
116,张君宝,10,0.5660631952186836
117,马大挺,9,0.3605813787716563
118,孟伯飞,13,0.7442650447859797
119,冯辉,9,0.26802877692349597
120,迟玄,9,0.1731426300552924
121,白龟寿,12,0.5371308345639009
122,彭长老,5,0.39638751647708004
123,呼延万善,11,0.34523251868379723
124,全金发,5,1.772264710154854
125,刘芹,8,0.016533453478112022
126,杰书,7,0.16535724301885396
127,费要多罗,7,0.5692216815185746
128,孟铸,13,0.1975993004575029
129,不平道人,4,0.7581260442039839
130,刘之余,1,0.057526649124344006
131,张三,11,1.7242596320241819
132,多隆,7,1.3156262937835952
133,吴光胜,4,0.1938271186051012
134,李万山,11,0.007944544018330843
135,俱明宝树王,12,0.02351229608115734
136,卜泰,12,0.04746816612398603
137,潘天耕,10,0.1742313104720824
138,仪清,8,1.6694613014668616
139,李自成,7,1.993982383473176
140,点苍渔隐,10,0.14274599458117132
141,谢烟客,11,1.5224604015336358
142,澄识,7,0.08645686652837832
143,兰剑,4,0.45426313511698546
144,施琅,7,1.8904257364278163
145,执法长老,12,1.2473952733334281
146,汪浩天,9,0.1661475314339222
147,宋青书,12,2.2576099542710244
148,崔百胜,1,0.028236409129778338
149,袁枚,9,0.058703012213771825
150,王进宝,7,0.7659828264178861
151,本因,4,0.6303877279333197
152,丘处机,5,5.192223742220006
153,乌老大,4,1.5903917357797588
154,胡大哥,1,1.5784758868193698
155,水福,3,0.020023399478072988
156,尹章垓,9,0.03252395659956655
157,龙岛主,11,0.49278588253533595
158,苏辙,7,0.013252978890481968
159,符敏仪,4,0.14340872536840538
160,卫周祚,7,0.020258198128485394
161,郑三娘,2,0.34982462549627924
162,孟正鸿,12,0.08779976219936556
163,张九,1,0.3162290234551207
164,梅良鸣,9,0.1872791673094121
165,李春来,4,0.06671592243631436
166,聋哑婆婆,8,0.05487037182142939
167,郭破虏,10,0.17808504565059974
168,上官,8,1.2042506068795809
169,张中,12,0.14365925118031617
170,谭处端,5,0.66340954577649
171,煞神鬼,10,0.03491532399680644
172,纳斯尔丁,9,0.07923807087921271
173,周颠,12,2.774712521257929
174,钟志灵,7,0.01966820613659248
