Source,Target,id,weight
2,1094,113,8.51063829787234E-4
5,492,114,9.84251968503937E-4
5,493,115,0.003367003367003367
270,567,116,0.10526315789473684
5,491,117,0.0029865604778496766
286,388,118,0.04878048780487805
5,496,119,0.015151515151515152
5,497,120,0.003367003367003367
5,494,121,9.84251968503937E-4
33,69,122,0.0027100271002710027
5,495,123,4.2301184433164127E-4
5,498,124,0.015228426395939087
30,117,125,0.0041841004184100415
11,1227,126,0.01048951048951049
589,971,127,0.01694915254237288
11,1229,128,0.0024509803921568627
93,1113,129,0.05555555555555555
11,348,130,0.0024509803921568627
270,551,131,0.14285714285714285
570,580,132,0.1
25,272,133,0.009900990099009901
217,1088,134,0.008620689655172414
132,746,135,0.031026252983293555
511,582,136,0.015873015873015872
25,278,137,0.001697792869269949
205,966,138,0.18421052631578946
25,277,139,0.006369426751592357
11,1217,140,0.0024509803921568627
544,953,141,0.045454545454545456
205,980,142,0.019635343618513323
205,981,143,0.0070126227208976155
30,120,144,0.0041841004184100415
1145,1154,145,0.031007751937984496
93,1125,146,0.009950248756218905
145,1204,147,0.041666666666666664
11,334,148,0.0024509803921568627
11,336,149,0.0024509803921568627
25,263,150,0.015280135823429542
24,774,151,0.003952569169960474
24,777,152,0.0013986013986013986
8,810,153,0.07142857142857142
544,963,154,0.09523809523809523
11,1211,155,0.027972027972027972
11,322,156,0.0034965034965034965
11,1247,157,0.0024509803921568627
17,621,158,0.027522935779816515
1045,1217,159,0.0026041666666666665
25,297,160,0.009900990099009901
1,702,161,9.832841691248771E-4
17,627,162,0.008130081300813009
11,1243,163,0.0024509803921568627
11,1245,164,0.0024509803921568627
11,1246,165,0.0034965034965034965
11,1239,166,0.014705882352941176
93,1145,167,0.0045662100456621
25,280,168,0.0050933786078098476
42,282,169,0.1896551724137931
25,282,170,0.008488964346349746
17,618,171,0.125
25,288,172,0.001697792869269949
552,1196,173,0.017857142857142856
277,461,174,0.022727272727272728
17,643,175,0.012048192771084338
879,1178,176,0.02702702702702703
866,1029,177,0.030303030303030304
69,771,178,0.029850746268656716
11,1269,179,0.0034965034965034965
56,277,180,0.036458333333333336
11,390,181,0.0024509803921568627
25,237,182,0.001697792869269949
25,235,183,0.001697792869269949
25,230,184,0.003395585738539898
597,819,185,0.14285714285714285
697,1262,186,0.08974358974358974
11,1258,187,0.2222222222222222
11,370,188,0.0024509803921568627
25,222,189,0.001697792869269949
11,1257,190,0.01715686274509804
11,1256,191,0.0024509803921568627
25,224,192,0.001697792869269949
1,711,193,0.010416666666666666
17,639,194,0.021739130434782608
597,820,195,0.2857142857142857
17,635,196,0.01098901098901099
17,661,197,0.0022935779816513763
11,360,198,0.0024509803921568627
11,366,199,0.004901960784313725
11,363,200,0.004901960784313725
170,193,201,0.010869565217391304
17,667,202,0.024390243902439025
1045,1266,203,0.01639344262295082
277,417,204,0.014044943820224719
497,553,205,0.0037313432835820895
20,141,206,0.029850746268656716
328,1276,207,0.05263157894736842
17,651,208,0.029411764705882353
497,556,209,0.0037313432835820895
179,743,210,0.022222222222222223
11,354,211,0.0024509803921568627
511,533,212,0.12698412698412698
